Biuro Rachunkowe eBuchalter s.c. JW Hołubowscy #         biuro@ebuchalter.pl     #(91) 578 16 13
Omnibus Kancelaria Doradztwa Podatkowego Barbara Marciniak-Marecka #         biuro@omnibusbp.pl     #(91) 484 05 17
Biuro Usług Rachunkowych i Audytu Wynik Mariola Piątkowska #         mariola@biuro-wynik.com.pl     #721 808 357
BUK Biuro Rachunkowe Izabela Rygiel #         biuro@uslugiksiegoweszczecin.pl     #798 240 830
Katarzyna Muras #         swirach109@gmail.com     #789 781 399
Qwadracik #         biuro@qwadracik.pl     #513 902 703
JPC Biuro Rachunkowe #         info@e-ksiegujemy.pl     #573 183 000
##test
Janusz Stańko Kancelaria Podatkowa #         janusz.stanko@biuro.stargard.pl     #(91) 578 88 68
Agnieszka Piętak Biuro Rachunkowe #         biuro@agnieszkapietak.pl     #696 017 496
Biuro Księgowo-Podatkowe Sp. z o. o. #         kontakt@biuroksiegowe.szczecin.pl     #609 535 828
Biuro Rachunkowe Gabi Gabriela Krefta-Marczak #         biuro@gabi.szczecin.pl     #691 856 886
Agat Biuro rachunkowo-kadrowe Agnieszka Żywica, Aleksandra Żywica #         biuroagat@interia.pl     #501 678 575
Katarzyna Chołuj Biuro Rachunkowe #         biuro.choluj@wp.pl     #534 021 929
Biuro Rachunkowe Marzena Dębińska #         marzenadebinska@wp.pl     #604 275 901
A-Lex Biuro rachunkowo-podatkowe Aneta Szyszka #         anetasz28@o2.pl     #(91) 414 20 37
Mc2 Biuro rachunkowe Joanna Dąbrowa #         poczta@biuromc2.pl     #691 921 354
Barbara Wiechowska Biuro Rachunkowo Podatkowe #         bw@wiechowska-podatki.com.pl     #(94) 340 39 00
Enter Biuro rachunkowe Zbigniew Mizera #         enter.zm@onet.pl     #(91) 415 31 36
Biuro Radkam Kancelaria Doradcy Podatkowego Wanda Zasieczna #         biuro.radkam@wp.pl     #(91) 852 32 60
Mgr Ewelina Nowicka Biuro Rachunkowe #         biuroszczecin@vp.pl     #535 995 545
Biuro Rachunkowe K&amp;z Kamila Kuźnicka, Barbara Zglinicka s.c. #         kz.biurorachunkowe@o2.pl     #607 647 720
Biuro Rachunkowe Anna Urbanowska #         biuro.rachunkowe.urbanowska@gmail.com     #509 753 346
Mtm s.c. Biuro Rachunkowe Księgowość Doradztwo Podatkowe #         kontakt@biuromtm.pl     #(91) 578 86 06
Kancelaria Podatkowo-Księgowa Magdalena Szymczak #         kancelaria@kpk.szczecin.pl     #509 681 606
MT Biuro Rachunkowo-Podatkowe Teresa Michniewicz #         mtbiuro@wp.pl     #(91) 488 09 81
Spero Biuro rachunkowe Joanna Wojciechowska #         spero.wojciechowska@wp.pl     #668 693 055
Libri Sp. z o. o. Biuro Rachunkowe #         kancelaria@libri.com.pl     #605 870 069
SeDi Group Biuro Rachunkowe Małgorzata Jaskułowska #         br.malgosia@gmail.com     #661 888 050
Dorota Bartkowska Usługi Finansowo-Księgowe #         d.bartkowska@idsl.pl     #607 655 589
