Aliczka Alina Ivanets ##789 462 208
Pracownia Urody Prosta Kreska - Makijaż Permanentny, Zabiegi, Medycyna Estetyczna #         gabinetprostakreska@gmail.com     #537 334 111
Silencio Salon Urody Renata Nagel #         salon.silencio@onet.eu     #512 554 083
Make-up things pracownia makijażu #         a.przybysz84@gmail.com     #606 299 338
Studio Wizażu i Kosmetyki Motyl Sylwia Zalińska #         studiomotyl@wp.pl     #882 096 347
Manicure Pedicure Stylizacja Paznokci Sandi Beauty Sandra Jedlińska #         sandrajs924@gmail.com     #534 682 354
MKG Permanent&amp;Tattoo Studio #         mkg.pmustudio@gmail.com     #504 161 036
Vlok Beauty Bar Sp. z o.o. #         vlok.beauty.bar@gmail.com     #795 085 310
Mi Bella Salon Urody Ewelina Da Silva De Oliveira #         salon@mibellagdynia.pl     #509 250 838
Gabinet Kosmetyczny Pomerania Beauty Sandra Jakimiec #         sandrajakimiec4@gmail.com     #784 961 445
Agnieszka Rydlewska-Burczyk Szał Ciał Kosmetyka #         a.rydlewska-burczyk@wp.pl     #500 851 670
Salon kosmetyczny Patrycja Patrycja Hildebrandt #         badzpiekna2021@gmail.com     #603 081 490
Kobiecy Klimat Beauty Room Anna Kaliakina ##662 472 268
Diamanti Monika Lisak Salon Urody #         urodadiamanti@interia.pl     #534 333 503
Gabinet Medycyny Estetycznej,Dermatologii i Alergologii prof. dr hab. med. Romuald Olszański #         romuald.olszanski@wp.pl     #(58) 620 46 62
Beata Kaiser-Ziorkiewicz Specjalista Ortodonta #         betair@wp.pl     #(58) 629 41 53
Hotel Orle #         info@orle.com.pl     #(58) 308 07 91
Kancelaria Adwokacka Dr. Agata M. Wolińska-Umschaden Adwokat #         kancelaria@awolinska.com     #609 890 815
Salon kosmetyczno - fryzjerski Galeria Urody #         galeriaurodygdansk@gmail.com     #508 668 289
Secret Aleksandra Pytlińska Rusztowania #         olapyt76@wp.pl     #600 445 975
Hakuna Matata by Nails #         victoria.plemyannikova@yandex.com     #574 295 986
Mydlarnia Rustikana - Alicja Szostek #         hello@rustikana-mydlanaturalne.com     #507 019 891
Adara s.c. #         adara34@tlen.pl     #512 336 790
Oświata-Lingwista Nadbałtyckie Centrum Edukacji Sp. z.o.o. Ośrodek Szkolenia Zawodowego #         info@oswiatalingwista.eu     #(58) 303 30 30
Ona Odnova Kosmetologia i Medycyna estetyczna #         onaodnowa@gmail.com     #666 000 559
Salon Urody Skelnik Agnieszka Face &amp; Body #         agnieszkaskelnik@wp.pl     #601 921 200
Brows Up #         yulia.zima6@gmail.com     #607 214 992
Makijaż Permanentny Daria Liberacka #         darialiberackapmu@gmail.com     #507 687 770
Kosmetologia Estetyczna Martyna Muszyńska #         martyna.muszynska96@gmail.com     #532 915 570
Holistic Skin Beauty Paulina Peplińska - masaże i zabiegi #         paulinapeplinska.93@gmail.com     #507 748 207
Mobilno Stacjonarny salonik pielęgnacyjny dla psów Teresa Wica #         teresawica@o2.pl     #505 928 284
Strefa Urody Agnieszka Piętara-Bolejko #         agapietara@o2.pl     #536 144 088
Punkt Sterylizacji #         sterylizacjapl@gmail.com     #508 402 981
Drachma Chemia Gospodarcza Środki Czystości Artykuły Higieniczne #         drachma@op.pl     #(58) 683 10 94
Frisor Karolina Kwidzińska #         karolinagalik1@wp.pl     #664 474 033
Amber Hotel #         biuro@amber-hotel.pl     #(58) 718 71 87
Gabinet Stomatologiczny-Ortodonta lek. Bożena Hajduk #         kontakt@ortodontachojnice.pl     #881 400 294
Tri-Star Solar Zbigniew Polaków #         biuro@tristarsolar.eu     #609 101 117
Dual Spółka z ograniczoną odpowiedzialnością #         dualnord@wp.pl     #504 583 453
Archistyl Pracownia Projektowa Kornelia Żywicka #         archistyl@archistyl.eu     #608 577 688
Bogna Racka-Pilszak dr n. med. Stomatolog Specjalista Ortodonta #         bogna.racka@wp.pl     #601 963 867
##test
Centrum Stomatologiczne Jarosław Nieścior #         nestorj@go2.pl     #(58) 678 25 57
Video-Wojtek s.c. Wypożyczalnia Filmów DVD i Blueray, przegrywanie kaset VHS #         wojciechgebert@wp.pl     #(58) 661 52 69
Krystyna Dałek Złota Rybka Gastronomia, Wynajem Pokoi #         biuro@willazlota.pl     #(58) 674 73 70
Blumkowska Justyna-Dąbrowska Pracownia Protetyki Stomatologicznej #         jublum@interia.pl     #605 300 774
1 2 3 Beauty Agata Browarczyk ##507 448 883
1. Ab-Fab Rafał Kudrawcew 2. Instytucja Szkoleniowa Fryzjerstwo-Kosmetyka Rafał Kudrawcew ##502 215 416
1. Ana Anna Stawarz Salon Urody Perła2. Ana Anna Stawarz Pośrednictwo Finansowe ##693 716 339
1. Diet &amp; Beauty Edwarda Stawska 2. Cosmo Edwarda Stawska (Wspólnik Spółki Cywilnej) ##500 164 058
1. Fabryka Urody - Iwona Grabowska 2. Rs Service - Iwona Grabowska #         kosa512@wp.pl     #Oceń firmę i napisz o niej opinię:
1. Karolina Konkiel MetamorPH Osi; 2. PH Ysio &amp; Therapy Karolina Konkiel (wspólnik Spółki Cywilnej) #         kkarolinaa@op.pl     #514 777 704
1 Usługi Kosmetyczne Nefretete Natalia Rainko;2 Natalia Rainko ##602 457 624
1.Agnieszka Czulińska Kreation 2. Agnieszka Czulińska-Wspólnik S.C. Sapo ##502 357 503
7th Heaven Gabinet Kosmetologii Alina Kobylska #         abelczewska@gmail.com     #Oceń firmę i napisz o niej opinię:
A &amp; J COMPANY Anita Maja Świetlicka #         annitaostrykiewicz@wp.pl     #510 981 410
a. B. Always Beauty Agata Bielecka #         agatatejer1@gmail.com     #Oceń firmę i napisz o niej opinię:
a S Studio Uladzislau Shukan #         ashukanstudio@gmail.com     #Oceń firmę i napisz o niej opinię:
a&amp;a Anita Usarkiewicz ##505 812 043
AA Gabinet Kosmetyczny Agnieszka Gibas-Probe ##601 694 140
AAG Sp. z o.o. #         biuro@aagcollagen.pl     #500 061 801
AB Cosmetics Anna Bolda #         boldaanna@wp.pl     #605 546 569
AB Products Sp. z o.o. #         iuono@interia.pl     #602 458 066
