Ryszard Gabryś Specjalistyczny Gabinet Rehabilitacji Medycznej #         gabinet@rehabilitacja.krakow.pl     #(12) 634 06 68
HELBO Spółka z ograniczoną odpowiedzialnością #         biuro@helbo.pl     #(12) 651 10 80
Lar-Med Aparaty słuchowe i laryngologia #         nzozlarmedzywiec@gmail.com     #500 126 645
Chor-Med F.P.H.U. Rafał Chorobik #         chorobikakcja@interia.pl     #603 605 799
Alfa Ubezpieczenia Jarosław Grochola #         biuro@alfa-ubezpieczenia.eu     #606 120 900
Miejska Przychodnia Lekarska Nr IV NZOZ Sp. z o.o. #         czworka@post.pl     #(14) 688 81 84
Retman Łukasz Wiśniewski Zaopatrzenie i Wyposażenie Gastronomiczne #         biuro@retman.net.pl     #728 502 622
Evita Centrum Medyczne E. &amp; W. Ziemniak Spółka cywilna Elżbieta Ziemniak, Witold Ziemniak ##(12) 634 54 12
Małopolska Kolumna Transportu Sanitarnego Sp. z o.o. #         sekretariat@mkts-tarnow.pl     #(14) 621 04 98
Maria Mirowska Firma Usługowa - Tapicerstwo Meblowe #         maria.mirowska@op.pl     #503 623 841
Bol Robert Jachymiak #         olgawj5@gmail.com     #504 100 156
Lucyna Szlifińska Tłumacz Przysięgły z Języka Niemieckiego ##(33) 842 60 04
Medycyna Pracy Sp. z o.o. Zakład Opieki Zdrowotnej #         zoz1@op.pl     #(12) 686 16 64
Bram-Bud H. Szostek R. Calik K. Kulig Sp.j. #         dyrektor@bram-bud.pl     #(12) 444 54 45
Źródło Zdrowia Sklep Zielarsko-Medyczny Jolanta Piekiełko #         jolap56@gmail.com     #(33) 875 15 18
Cracow Medical Center #         kontakt@cmc-center.pl?     #(12) 633 40 33
Gazbud Bis Mirosław Kowalczyk #         gazbud2@o2.pl     #502 647 140
Almedica NZOZ Przychodnia Ginekologiczno-Położnicza #         miro.wisniewski@wp.pl     #(18) 443 99 64
Bojan FHU Bogdan Janik Sprzedaż wag, naprawa wag, konserwacja wag i legalizacja wag. #         bogjan13@gmail.com     #601 836 913
Zembrzuska Elżbieta Lek. Med. Pediatra Wizyty Domowe #         tompit30@gmail.com     #601 465 266
Geocoma Sp. z o.o. #         mchalecki@geocoma.pl     #608 407 409
Abat #         biuro@obuwie-abat.pl     #501 374 447
Grawena Grażyna Krówczyńska #         biuro@grawena.pl     #(12) 266 61 40
Zdrowie Prywatna Poliklinika Specjalistyczna #         poliklinikazdrowie@gmail.com     #(18) 443 81 58
Kammed Małgorzata Wrona #         malgorzata.wrona@wp.pl     #512 221 477
Salon perukarski Rokoko Hair Company #         krakow@rokoko.com.pl     #(12) 630 04 26
Evita Indywidualna Specjalistyczna praktyka pielęgniarska #         kowalczewskae@o2.pl     #667 962 508
Medform Brzezińska-Kolarz Beata #         beatabkol@mp.pl     #661 126 500
Stanisław Korpacki Pracownia RTG i USG Sp. z o.o. #         pracrtgusg@interia.pl     #(18) 352 20 03
