F.H.U. Sigar Andrzej Ślęzak #         f.h.u.sigar@o2.pl     #664 367 755
PHU Sterimed s.c. #         sterimed@wp.pl     #602 521 974
Prywatny Gabinet Psychiatryczny lek. med. Łukasz Filipowski #         filipowski.gabinet@gmail.com     #697 202 025
Maria Kowalska-Złamaniec Adwokat Kancelaria Adwokacka #         adwokat.mkz@gmail.com     #505 501 275
Bud-Med Spółka partnerska lekarzy NZOZ #         biuro@bud-med.eu     #(17) 853 55 18
Wamat Sp. z o.o. #         wamat@wamat.com.pl     #(17) 584 02 80
Hurtownia Wentylacyjna Ventom - Oxy8.pl #         biuro@oxy8.pl     #512 254 005
Mikmed Grzegorz Mikuła #         mikulag@wp.pl     #602 181 233
Ekspert Niezależni Doradcy Finansowi sp. z o.o. #         krzysztof_musial@poczta.onet.pl     #(15) 823 62 10
Kancelaria Adwokacka Joanna Jakubowska- Zawada #         adwokat@jakubowskazawada.com     #(17) 888 60 09
Kancelaria Adwokacka Adwokat Katarzyna Jarosz #         jarosz.adwokat@gmail.com     #512 785 442
Tłumacz Przysięgły Języka Niemieckiego Dorota Walczyna-Bożek #         dwalczynabozek@gmail.com     #507 137 016
Wypożyczalnia Sprzętu Medycznego Ros-Med Roman Szypuła #         m.t.szypula@gmail.com     #(17) 227 12 36
Translator Agencja Usług Językowych Roman Golesz #         agencja@golesz.com.pl     #601 854 403
Agencja Ubezpieczeniowa Agnieszka Malawska #         agamalawska123@wp.pl     #692 197 445
Golec Edward Pośrednictwo Ubezpieczeniowe #         edgolec@agentpzu.pl     #502 140 161
Kancelaria Prawna Arkadiusz Brach #         kancelaria@kancelariabrach.pl     #606 301 916
Lancet Spec. Praktyka Lekarska Gabinet Chirurgiczny Lek. Med Piotr Kosiorowski #         jagatan@poczta.onet.pl     #604 444 865
Serwis Gaz Artur Zarzyczny #         a.zarzyczny@wp.pl     #730 562 777
Wiga Wiesława Gąsior #         wiga.gasior@o2.pl     #781 116 602
Transport medyczny I Zabezpieczenia medyczne I Szkolenia z pierwszej pomocy - Route 2 #         jan.harezga@interia.pl     #603 912 362
Bożena Korzeniewska Kropeczka #         b.k.kropeczka@wp.pl     #784 922 889
Br-Gaz Gazy Techniczne i Urządzenia Spawalnicze #         biuro@brgaz.pl     #(14) 670 43 67
Skinlab ##889 779 866
Makijaż Art Aleksandra Bożek-Ryś #         akademia.makijazart@gmail.com     #786 134 215
