Medyczna S.C. Apteka ##(63) 289 36 06
Wojciech Kozubski Gabinet lekarski #         wkozubski@ump.edu.pl     #(61) 841 71 73
Promed Anastazja Beder #         ab-promed@o2.pl     #661 244 135
Profilaktyka s.c. Laboratorium Analityczne #         profilaktyka5@op.pl     #(67) 212 59 06
Ratownictwo Medyczne Dezyderiusz Łaszkiewicz #         dezyd@wp.eu     #600 179 557
Medan Niepubliczny zakład podstawowej i specjalistycznej opieki zdrowotnej #         krystian.andrzejczak08@wp.pl     #(62) 747 22 61
Zakład Rzemieślniczy Instalacji Sanitarnych #         office@instalswiat.pl     #601 787 427
Niepubliczny Zakład Opieki Zdrowotnej R Medyk #         kontakt@rmedyk.pl     #669 800 213
Regionalne Centrum Krwiodawstwa i Krwiolecznictwa #         sekretariat@rckik.poznan.pl     #(61) 886 33 33
Zakład Usług Ortopedycznych s.c. #         zuo.konin@wp.pl     #(63) 245 17 60
Kancelaria Adwokacka - Adwokat Dagmara Smyrek-Appel Adwokat Paulina Sroka #         kancelaria@adwokatsroka.com     #512 371 177
Medan Niepubliczny zakład podstawowej i specjalistycznej opieki zdrowotnej #         krystian.andrzejczak08@wp.pl     #627 495 460
Medan Niepubliczny zakład podstawowej i specjalistycznej opieki zdrowotnej Krystian Andrzejczak, Piotr Andrzejczak Spółka Jawna #         krystian.andrzejczak08@wp.pl     #627 495 463
Medyk Centrum diagnostyczno-terapeutyczne #         medyk@gastrolog.konin.pl     #(63) 244 38 38
Leszczyńska Przychodnia Lekarska sp j #         lpl-nzoz@wp.pl     #(65) 529 90 77
Kornelia24.pl sp. z o.o. #         kornelia.24spzoo@o2.pl     #782 912 371
Cito sp. z o.o. sklep medyczny #         sklep.medyczny@cito.eu     #(61) 843 04 01
PPHU Cito sp. z o.o. #         poznan@cito.eu     #801 702 121
Hematolog Transplantolog Prof. Dr Hab. Nauk Med. Spec. Chorób Wewn. Mieczysław Komarnicki #         mak7@pro.onet.pl     #601 713 786
Dom Opieki Świerkowy Zakątek Grażyna Hetman #         grazyna.hetman@o2.pl     #664 484 679
Pofam-Jedność Spółka z ograniczoną odpowiedzialnością #         zarzad@pofam-jednosc.pl     #(61) 841 13 40
MK-Med Małgorzata Krotecka #         mkmed@onet.eu     #(61) 851 52 63
