Wojskowa Specjalistyczna Przychodnia Lekarska SPZOZ #         szpital117@poczta.onet.pl     #(94) 351 96 71
Inducto Sp. z o.o. Sp.k. #         inducto@inducto.pl     #512 727 657
MediLuxClinic Gabinety lekarskie #         anitagl@poczta.onet.pl     #(91) 434 62 52
Willa Seniora Strumiany #         biuro@willaseniora-strumiany.pl     #538 106 046
Panaceum Sklep Zielarsko Medyczny #         terom@sklepzielarskiszczecinek.pl     #(94) 372 19 30
Anna Elżbieta Moś #         mos.anna@allianz.com.pl     #792 040 434
Wiktoria Sylwia Bystrzak #         wiktoria.bystrzak@allianz.pl     #539 312 751
Medical Company #         kontakt@medical.szczecin.pl     #(91) 489 19 28
Medical. Sprzęt medyczny, wózki inwalidzkie, protezy #         medical@szczecin.home.pl     #(91) 488 99 15
Sklep Zielarsko-Medyczny Rumianek Marzena Bogusz #         marzena_b6@o2.pl     #(91) 463 64 06
Brit Biuro Tłumaczeń Języka Angielskiego Iwona Niedzielska #         info@biurobrit.pl     #501 068 135
Trycho&amp;care Natalia Lenarczyk #         natalialenarczyk@gmail.com     #502 024 762
Proffman Broker Sp. z o.o. #         info@proffman.pl     #(91) 432 38 60
Nanokeratin Hair SPA mgr Ewa Sieradzka #         trychologiamed@gmail.com     #883 978 087
Marta Anklewicz #         decmarta23@gmail.com     #575 321 693
Leasing #         szczecinleasing@gmail.com     #503 303 374
Atrium Paweł Zimnicki, Andrzej Zimnicki #         atrium@szn.pl     #(91) 439 33 92
Apteka Na Redzie Leki Gotowe Recepturowe Homeopatyczne #         naredzie@wp.pl     #(91) 482 58 30
Biuro Tłumaczeń Magister Inżynier Izabela Wierucka Tłumacz Przysięgły i Techniczny Języka Niemieckiego #         izabela.wierucka@wp.pl     #603 267 071
Net-Serwis Usługi Komputerowe Marek Kiełbowski #         netserwis@redlo.eu     #502 516 756
Bratek Sklep zielarsko-medyczny Zdrowa żywość Suplementy Calivita, Singularis, olejki DoTERRA #         brateksklepzielarski26@wp.pl     #502 052 168
Salon perukarski Rokoko Hair Company #         szczecin@rokoko.com.pl     #(91) 351 67 15
Mirski Paweł Kancelaria Adwokacka #         katarzyna.oleszczak@adwokatmirski.pl     #695 080 550
Kancelaria Radcy Prawnego dr Rafał R. Wasilewski #         kancelaria@radcawasilewski.pl     #518 040 555
Tłumacz Przysięgły Angielskiego Elżbieta Andrzejewska-Meyer - Tłumaczenie Angielskiego Perfekt #         perfekt26@wp.pl     #608 664 285
MC Tłumaczenia Monika Czyż #         monikaczyz@mctlumacz.eu     #508 613 998
Usługi Ratownictwa Medycznego GryfMed Maciej Romanowski Transport medyczny #         biuro@gryfmed.eu     #783 902 731
Wama Pharma Sp. z o.o. #         m.w.rybak@poczta.fm     #(91) 562 26 44
WK Wiesław Kożybski Obsługa Techniczna Obiektów #         wkozybski@op.pl     #510 243 170
Centrum Ubezpieczeń Borowiak #         jadwiga.borowiak686@wp.pl     #662 501 548
Kancelaria Adwokacka Adwokat Bartosz Papucewicz #         kancelaria@papucewicz.pl     #(94) 352 74 85
P. W. Tech Gaz SI s.c. Tadeusz Idzi, Wojciech Sułek #         techgazgryfice@gmail.com     #505 109 304
Wojskowa Specjalistyczna Przychodnia Lekarska SPZOZ w Koszalinie #         info@wspl.koszalin.pl     #(94) 306 70 60
O-Med Przemysław Michał Kosacki #         o_med.kosacki@interia.pl     #609 658 472
Pomorski Uniwersytet Medyczny W Szczecinie #         rektor@pum.edu.pl     #(91) 480 07 00
Usługi Fizjoterapeutyczne Anna Piasecka-Czarnak #         aniap333@o2.pl     #516 411 639
Regwag Pol S.C. Sprzedaż, Naprawa, Legalizacja Wag #         regwag@poczta.onet.pl     #502 131 040
Specjalistyczny Zespół Gruźlicy i Chorób Płuc #         sekretariat@szgichp.med.pl     #(94) 340 67 30
Apteka Rodzinna Mgr Farm Agnieszka Rudnikowicz-Mousa #         apteka.rodzinna3@gmail.com     #(94) 367 73 35
Tomasz Zawadzki Kancelaria Radcy Prawnego #         tz@kancelaria-zawadzki.eu     #600 373 938
Megaton Mariusz Miller #         biuro@megaton.pl     #(91) 431 75 38
Marek Kubicki lek. med. Gabinet leczenia uzależnień alkoholowych #         marekkubicki75@gmail.com     #605 665 819
