Medyczna Przychodnia ##(32) 370 24 14
Lar-Med Nzoz #         nzozlarmedzywiec@gmail.com     #(33) 860 26 63
Medicom Sp. z o.o. #         firma@medicom.com.pl     #(32) 271 76 66
NovaMed NZOZ Podstawowa Opieka Zdrowotna #         novamed.katowice@op.pl     #(32) 259 90 31
Nasza Przychodnia Spółka z ograniczoną odpowiedzialnością #         kancelaria@naszaprzychodnia.czest.pl     #(34) 366 96 04
Labor Zakład Naprawy Aparatury Laboratoryjnej i Medycznej #         laborbielsko@o2.pl     #(33) 814 17 72
Euromed Przychodnia lekarska NZOZ #         zoz_wielkobor@data.pl     #(34) 362 96 37
Nzoz Laboratorium Mikrobiologiczne Elżbieta Sławomir Słabisz #         eslaboratorium@gmail.com     #501 598 928
NZDL Centralne Laboratorium Analityczne w Zabrzu. dr n. med. Grażyna Kasprzyk #         info@cla.zabrze.pl     #(32) 271 38 43
Apteka Damian #         apteka@aptekadamian.pl     #(32) 471 91 22
Messer Polska Spółka z ograniczoną odpowiedzialnością #         kontakt.pl@messergroup.com     #(32) 772 60 00
ITIB Poland sp.z o.o. #         marek.kras@itibpoland.pl     #(33) 488 88 44
AGM Przedsiębiorstwo konsultingowe #         agm@agm-konsulting.pl     #608 153 413
Centrum Medyczne Angelius #         info@angelius.org     #(32) 783 73 00
Dental Med Niepubliczny zakład opieki zdrowotnej Grzegorz Wojcierowski #         kontakt@dental-med.pl     #(32) 456 94 82
Dorota Kęsik-Szlęzak Tłumacz przysięgły języka hiszpańskiego #         hiszpanski@tlumacz.katowice.pl     #607 583 064
Klaro Krystian Braun #         biuro@klaro.net.pl     #604 959 281
Orto-Med Krzysztof Szołtysik #         biuro@orto-med.bytom.pl     #600 895 509
Wimet PPHU Mirosław Wilczko, Marek Witerscheim Spółka cywilna #         wimet.sc@gmail.com     #(32) 258 17 88
Ewa Sawicka Lek. Med. Specjalistyczny Gabinet Geriatryczno-Internistyczny #         sawickaewa777@gmail.com     #603 778 570
Stanisław Bochenek Przychodnia akademicka Niepubliczny zakład opieki zdrowotnej Spółka jawna #         stanislawbochenek@wp.pl     #(33) 851 47 07
Suliga Centrum Medyczne #         info@suliga.com.pl     #(34) 360 48 69
Presto mgr Jagoda Hojnacka-Kordiak #         info@prestoitaliano.pl     #508 279 848
Certa Ubezpieczenia #         certaubezpieczenia@gmail.com     #883 263 001
Kouson Reha-Orto Zbigniew Blusiewicz #         kouson@kouson.pl     #503 107 456
HugCare-Centrum Medyczne #         Aleroz1311@gmail.com     #666 950 382
Terenova Transport Sanit Prywatny Taksówka Medyczna Jarosław Nęcek #         2023terenova@gmail.com     #539 923 011
WUKO 24 Stanisław Korgól Usługi asenizacyjne #         wuko24@vp.pl     #602 470 050
Poland Optical Sp. z o.o. #         polandoptical@po.pl     #(33) 851 36 30
Beauty By Ness Agnieszka Krzystała #         aga_agu2@o2.pl     #535 621 234
Kancelaria Adwokacka Michno Kasznia Sp.p. #         w.michno@kancelariamkk.pl     #603 597 257
Marcelina Hojoł-gabinet masażu ##605 111 665
Ubezpieczenia na życie Anna Bigos #         aniafox@wp.pl     #534 086 935
Krzysztof Kloc K-2 Pol PUHP #         klkrzych@onet.eu     #603 113 270
MB Medica s.c. Magdalena Rydzyńska Mordal, Bartłomiej Bubula #         biuro@mbmedica.pl     #(34) 324 66 77
Drezin Clinic - Magdalena Drezin ##531 329 455
Pelc Grzegorz.Kancelaria Radcy Prawnego #         kancelaria@radcaprawny-chorzow.pl     #533 237 664
Małgorzata Lenart-Grabowska Gabinet Neurologiczny #         mlenart@op.pl     #501 235 153
Elpax Sp. z o.o. Zakład Usługowo-Wytwórczo-Handlowy #         elpax@elpax.pl     #(32) 282 40 06
Profiset Szkoła języków obcych biuro tłumaczeń #         biuro@profiset.pl     #512 352 702
Dankan PPHU Daniel Grabowski #         biuro@dankan.eu     #505 570 504
Mgr Szymon Stuchly Kancelaria Adwokacka #         szymon.stuchly@adwokatura.pl     #(32) 415 20 72
Łabędy Sp. z o.o. Laboratorium badawczo - metrologiczne #         zarzad@lbm-gliwice.pl     #(32) 734 53 80
Izbicka Maria, Dr Nauk Med. Spec. Endokrynolog, Chorób Wewn. Gabinet Prywatny #         maria.izbicka@gmail.com     #(32) 258 67 34
Bożena Bukowska Mgr Tłumacz Przysięgły Jęz. Angielskiego i Rosyjskiego #         engrus@interia.pl     #608 578 340
Apteka Damian II #         elfag.grzywocz@gmail.com     #(32) 701 15 00
Apteka Damian III ##(32) 422 35 37
Apteka Damian IV ##(32) 476 34 95
Apteka Damian V ##(32) 476 49 12
Apteka Damian VI ##324 736 020
Salon perukarski Rokoko Hair Company #         gliwice@rokoko.com.pl     #(32) 708 79 94
Salon perukarski Rokoko Hair Company #         czestochowa@rokoko.com.pl     #(34) 390 39 62
Apteka Św.Barbary Matera i Matera sp.j. #         apteka1@aptekaswbarbary.pl     #(32) 235 13 64
Prognostic Przychodnia specjalistyczna #         rejestracja@prognostic.eu     #(32) 236 30 10
Kinga Brzuchania Centrum ubezpieczeniowe #         k.brzuchania1993@wp.pl     #791 221 421
Salon perukarski Rokoko Hair Company #         katowice@rokoko.com.pl     #(32) 708 70 33
Jura Rescue Team s.c. #         jurarescue@hotmail.com     #513 130 787
Amicus Sp. z o.o. Centrum Medyczne #         biuro@cm-amicus.pl     #(34) 372 56 01
Elwira Jakubiec Em Projekt #         em.projekt@poczta.fm     #511 060 649
Ich Dwoje spółka cywilna #         pralniaserwis@o2.pl     #695 501 408
Poliklinika Doktora Bessera Niepubliczny Zakład Opieki Zdrowotnej Maria Zarębska-Besser #         besser.sosnowiec@gmail.com     #731 731 831
Adhen Sklep Zielarski #         gabriela.brajlich@gmail.com     #509 478 933
Nowista s.c. Pogotowie Sanitarno-Epidemiologiczne #         biuro@nowista.pl     #(33) 821 06 33
Przychodnia Weterynaryjna Ramisz &amp; Ramisz #         ramisz@o2.pl     #603 928 706
Salon Urody Bonita y Hermoso Katarzyna Sikora #         salonurody.bonita@interia.pl     #784 746 066
Legal Górniczy zakład usługowo-handlowy sp. z o.o. #         legal1@o2.pl     #(34) 365 02 78
Awangarda Salon Kosmetyczny #         awangarda_bierun@interia.pl     #660 527 222
Aseopaper sp. z o.o. #         biuro@aseopaper.pl     #(32) 450 03 01
Alfa Marcin Broda #         biuro@alfa-ubezpieczenia.pl     #(33) 853 08 69
Odtruwanie Alkoholowe Andrzej Banasiak #         andrzejbanasiak1959@wp.pl     #602 197 379
Juravita Tomasz Waligóra #         juravita.kontakt@gmail.com     #694 600 601
Władysław Bryc Gabinet Lekarski #         wladyslaw1234@interia.pl     #(34) 322 74 50
Sklep Zielarsko-Medyczny Monika Tyrna #         monikatyrna@interia.pl     #(33) 814 07 43
PRZEDSIĘBIORSTWO GRESAN GRENDOWICZ SPÓŁKA KOMANDYTOWA #         gresan@gresan.pl     #(33) 854 37 27
MEDIANA Praktyka Lekarza Rodzinnego dr n. med Wojciech Pałasz specjalista medycyny rodzinnej #         mediana@wp.pl     #502 788 544
FizjoTerapia mgr Paulina Makowska #         p.makowska@vp.pl     #533 200 860
Centrum Usług Medycznych #         nzoz_cum@interia.pl     #(32) 285 86 39
Ewa Faber Agent Ubezpieczeniowy #         efaber@agentpzu.pl     #501 070 404
Barbara Langosz Gabinet kosmetyczny ##(32) 236 02 06
Med Work Centrum opieki medycznej Spółka z ograniczoną odpowiedzialnością #         biuro@medwork.com.pl     #(33) 815 73 02
Anoda PHU #         biuro@anoda.com.pl     #(34) 324 06 09
Medicus s.c. Zespół lekarskich poradni specjalistycznych #         mediccus24@interia.pl     #(32) 281 19 92
Pralnia - Rud-Wir Sp. z o.o. #         pralnia-rudwir@wp.pl     #534 100 653
Hospicjum św. Ojca Pio #         pio@hospicjumojcapio.pless.pl     #(32) 445 78 08
Renata Sowińska-Mitas Tłumacz Przysięgły Jęz. Angielskiego #         r.mitas@wp.pl     #(32) 261 56 49
Oze Eko Polska #         gryzelkoz@interia.pl     #502 507 260
Eko-Analiza M.Turek, M.Wysocki Sp.j. #         eko_analiza@onet.pl     #604 283 846
Radłowski Michońska Adwokaci Spółka Partnerska #         rafal.radlowski@radlowskipowaga.pl     #511 872 393
Irena Szlapa #         skoti23boks@interia.eu     #730 516 788
Var-Med Centrum chirurgii estetycznej, naczyniowej i dermatologicznej #         varmedustron@op.pl     #(33) 854 57 57
Izabela Pilarz Zbigniewa Lindert Niepubliczny Pielęgniarski Zakład Opieki Zdrowotnej #         izapil@interia.pl     #(33) 821 44 09
Zakład Naprawy Sprzętu I Aparatury Medycznej Intra Med Robert Torbus #         robert.torbus@wp.pl     #501 309 446
Stomatologia Protetyka Wodecki #         stom.jastrzebie@wp.pl     #(32) 470 48 02
Konopne Ziółko Robert Regulski #         konopneziolko@gmail.com     #693 204 756
Hipokrates Centrum Medycyny Pracy Sp. z o.o. #         biuro@hipokratescmp.pl     #(32) 219 27 46
Danuta Więcek-Włodarska Specjalistyczna Praktyka Lekarska #         danutawlodarska@wp.pl     #605 789 661
Masaż i Kosmetyka z Sercem #         kosmetykazsercem@gmail.com     #602 473 223
Medycyna naturalna #         marzena.danel@gmail.com     #505 147 864
Dagra Cosmetics Arkadiusz Panek Hurtownia kosmetyków koreańskich #         biuro@dagracosmetics.pl     #660 511 160
Bicom biorezonans homeopatia holistyka #         klaudiakopiasz@gmail.com     #602 765 583
Fabryka - Podłogi Drzwi #         salon@fabryka-bielsko.pl     #504 424 354
Biuro Pomocy Odszkodowawczej #         biuro@bipoo.pl     #731 909 112
Mariusz Kaczmarek Lek. Stomatolog Spec. Chirurgii Szczękowej #         mariuszdent@wp.pl     #602 518 701
Gabinety Baliś Kolposkopia/Ginekolog/Radiolog #         balism@wp.pl     #(33) 488 16 99
Wojciech Winiarski #         wojciech.winiarski1996@gmail.com     #798 439 907
Jacek Kopeć Nauka Języka Niemieckiego i Tłumaczenia Oraz Obsługa Biurowa #         biuro@btptlumaczenia.pl     #(32) 671 53 64
Specjalistyczna praktyka lekarska dr nauk med. Zbigniew Markiel Chirurgia ogólna i naczyniowa #         zmarkiel56@gmail.com     #601 844 641
Przychodnia Weterynaryjna s.c. #         przychodnia@weterynarz-zawiercie.pl     #(32) 672 73 40
Zakład tapicerski Wiesław Waszek- materace, renowacja mebli #         biuro@waszek.eu     #500 222 687
Stomatologia i Protetyka AMPLUS DENTAL #         protetyk1965@wp.pl     #503 030 410
Adwokat Sebastian Rolicz Kancelaria Adwokacka Pro Lex #         rolicz@adwokat-slask.com     #691 059 777
BHP4P Agnieszka Piotrowska #         bhp4p.ap@gmail.com     #507 808 914
Szpital Jakubiec #         szpitaljakubiec@vp.pl     #(34) 328 86 80
Akademia Śląska #         as@akademiaslaska.pl     #(32) 202 50 34
Aleksandra Lasicz #         olasicz@gmail.com     #607 933 793
Zakład Aktywności Zawodowej Fundacji Nadzieja-Dzieci Usługi Hafciarskie #         krawiecki@zaz-zabrze.pl     #512 212 677
Tłumaczenia Przysięgłe Małgorzata Seremet #         mjmarchlik@wp.pl     #517 772 046
Rafał Szyller Prywatny gabinet lekarski Ginekolog Położnik #         femur1@o2.pl     #501 448 865
Mar-Tynki Wioleta Martynek #         mar-tynki@wp.pl     #723 215 467
Agencja Ubezpieczeniowa Lider #         sclider@poczta.onet.pl     #601 400 171
Agencja Ubezpieczeniowa Lider #         sclider@poczta.onet.pl     #693 134 925
Orto-Medic Sabina Froelich #         orto_medic@op.pl     #512 854 008
Rehabilitacja Domowa Anna Bruch #         annabruch@interia.pl     #504 168 962
Oko-Med Grażyna Chrzanowska, Karol Krycia s.c. #         okomed.wodzislaw@gmail.com     #530 440 832
Edyta Szafert-Gęsikowska Gabinet Kardiologiczny #         Lugesik@interia.pl     #609 582 881
Danuta Jakubowska-Kowalska dr n. med. Specjalistyczna Praktyka Lekarska #         danjak1@op.pl     #603 176 317
Blatech Sp. z o.o. #         biuro@ciecielaserem.net     #507 070 885
Sar Sp. z o.o. Pracownia Architektoniczna #         sar@sar-katowice.eu     #(32) 253 67 00
Fundacja Człowiek Wsparciem #         biuro@czlowiekwsparciem.pl     #787 902 532
D&amp;L Meble Ekskluzywne Meble Tapicerowane #         tapicerczechowice@gmail.com     #695 001 499
Przychodnia Niepubliczny zakład opieki zdrowotnej Przychodnia lekarska Spółka z ograniczoną odpowiedzialnością #         przychodnia.piel@op.pl     #(32) 241 13 12
Kancelaria Adwokacka Adwokat Dr Alicja Maciejowska #         alicja.maciejowska@adwokatura.pl     #504 035 357
Hydrokolonoterapia, leczenie pijawkami , masaże , akupunktura -Iwona Henel Naturoterapia #         Iwonahenel@gmail.com     #517 192 122
Dominik Abłażewicz Kancelaria Adwokacka #         kancelaria@ablazewicz.pl     #(32) 708 25 24
Ubezpieczalnia sp. z o.o. #         nzoz_ubez@poczta.onet.pl     #(32) 215 32 41
Jolanta Gałkowska Prywatny Gabinet Neurologiczny Lek.Med. Jolanta Gałkowska #         j.a.galkowska@wp.pl     #602 748 781
Biuro Rachunkowe Joanna Juraszczyk #         joannajuraszczyk@gmail.com     #504 477 463
E-Verbum Biuro Tłumaczeń Specjalistycznych i Szkoleń Halina Dachowska #         halida@poczta.onet.pl     #507 099 634
Maria Górnicka Tłumaczenia Przysięgłe Języka Angielskiego #         mgornicka13@interia.pl     #501 926 636
Stella-Hołowiecka Beata Dr Hab. Nauk Med., Hołowiecki Jerzy Prof. Dr Hab., Transplantolog. Gabinet s.c. #         stellaholo@tlen.pl     #501 577 077
Specjalistyczna Praktyka Lekarska dr n. med. Janusz Krauze Specjalista Neurochirurg #         januszkra@poczta.fm     #601 091 581
Meformy Łukasz Podlewski #         pracownia.meformy@gmail.com     #604 642 965
Agnieszka Żolińska Tłumaczenia Przysięgłe Jęz Niemieckiego #         zolinska@interia.pl     #502 507 729
Verdade Kancelaria Radcy Prawnego Jacek Klimanek #         j.klimanek@interia.pl     #501 945 166
Air Products Sp. z o.o. #         dariusz.kurowski@roboprojekt.pl     #(32) 250 50 19
Makinat Michał Czesak #         emhyr76@wp.pl     #797 747 196
Tłumacz Przysięgły Języka Niemieckiego Rydarowicz Piotr #         rydarowicz@interia.pl     #503 955 257
RB BHP Rafał Bryła #         bhp69@op.pl     #602 101 823
Kancelaria Adwokacka Adwokat Zofia Lubańska #         zl@adwokat-lubanska.pl     #534 633 277
Milena Świerk Kancelaria Radcy Prawnego #         kancelariaswierk@gmail.com     #690 017 894
Spec Fuh Wieczorek Ł #         fuh.spec@gmail.com     #503 655 451
Jacek Doniec dr nauk med. spec. Ortopeda chirurg ortopeda #         jacdoniec@gmail.com     #601 572 015
Max Dent - Ortodoncja &amp; Stomatologia - S.C. Ewa Maksym Arkadiusz Maksym #         czechowice-dziedzice@max-dent.pl     #(32) 215 87 81
Anna Zakrzewska Specjalista Endokrynolog, Specjalista Chorób Wewnętrznych #         anizak1@hotmail.com     #501 737 196
Kosmetologia&amp;Trychologia Liliana Urbaś #         lila.urbas@gmail.com     #518 317 996
Gabinet Ortodontyczny Dr N. Med. Anna Michalik Specjalista Ortodonta #         annamichalik@o2.pl     #(32) 231 41 48
Martdent. Marta Krzemień. Stomatologia #         martakrzemien92@gmail.com     #502 333 752
Aura Studio - Paulina Kubaszek #         paulina.aurastudio@gmail.com     #609 644 167
Jacek Mizerski Gabinet Chirurgiczny #         jmizerski@op.pl     #603 877 764
Specjalistyczna Praktyka lekarska dr hab. n med. Joanna Siuda #         rejestracja.34@gmail.com     #785 122 777
Alicja Jędraszewska lek. med. spec. chorób dziecięcych Gabinet #         alicja39@vp.pl     #602 559 288
Cieślik Zbigniew, dr nauk med. Spec. chirurgii naczyniowej Specjalistyczna praktyka lekarska #         cieslik.zbigniew@gmail.com     #(32) 793 59 50
1. Gpe Psychotronics Mieczysław Wojciech Korchut 2. NZOZ Gpe Psychotronics Mieczysław Wojciech Korchut ##(32) 219 69 73
1. Indywidualna Praktyka Lekarska Krzysztof Onaczyszyn. 2. Centrum Medyczne 311 S.C. #         k.onaczyszyn@o2.pl     #Oceń firmę i napisz o niej opinię:
1. Mistral Iwona Rudzka 2. Vitberg Bis Iwona Rudzka #         mistralinfo@wp.pl     #796 786 418
