Prac-Kam Grzelińscy Pracownia kamieniarska Inez Grzelińska #         prac.kam@gmail.com     #602 486 846
Bioetanol AEG sp. z o. o. #         dzialhandlowy@bioetanolaeg.pl     #(56) 675 16 16
Kmt Macdermid-Polska Sp. z o.o. #         kmtbiuro@macdermid.pl     #(56) 678 30 55
Partner. Adam Kraiński - ogrody zimowe, namioty, zadaszenia #         biuro@partner-kopuły.pl     #692 134 438
Apaform Sp. z o.o. #         apaform@apaform.com.pl     #(56) 690 45 67
D&amp;R Dispersions and Resins Sp. z o.o. #         biuro@d-resins.com     #(54) 411 43 70
Wesolyplaczabaw.pl Małgorzata Kosmecka #         kontakt@wesolyplaczabaw.pl     #693 852 987
Metalmania Urządzenia do Przemysłu Spożywczego #         witgit1@wp.pl     #600 642 366
Nowość Rolnicza Spółdzielnia Produkcyjna #         sekretariat@rspnowosc.pl     #(52) 351 10 72
ARPLEX Wyroby z pleksi #         biuro@arplex.pl     #(52) 582 01 12
Tech-Art Sp. z o.o. sp.k. #         j@tech-art.com.pl     #(56) 664 44 90
Fil-Met. Produkcja podajników ślimakowych. #         filmet@wp.pl     #501 079 339
Silverpack sp. z o.o. #         robertptak@silverpack.pl     #695 653 151
Grupa Lamin Szelengowski Szwarc Sp.j. #         biuro@lamin.pl     #609 440 886
Anmar Mariusz Poliński #         anmar.piasek@gmail.com     #601 847 795
Agro Kontakt Przedsiębiorstwo produkyjno handlowo usługowe Marek Konopacki #         agro-kontakt@agro-kontakt.pl     #(56) 652 95 06
Magra Przedsiębiorstwo Wielobranżowe Maciej Kozłowski #         m.kozlowski@magra.com.pl     #(52) 322 55 12
Salibol Łukasz Salamon #         biuro@salibol.pl     #693 593 386
Grabowski Export-Import Handel Hurtowy Bogdan Grabowski #         grabowski-palety57@wp.pl     #783 977 698
Alins Tech Sp. z o.o. #         kg@alins.pl     #505 112 769
Mirwent Mirosław Kędziora #         mirwentsolec@wp.pl     #531 538 217
Pod Strzemięcinem Centrum ogrodnicze Katarzyna Gręda #         centrumogrodnicze@wp.pl     #(56) 465 49 59
EMA Plast Mariusz Zabłoński #         biuro@emaplast.com.pl     #605 255 095
Zielonka P.W. Bałażyk Cyprian Sebastian #         p.w.zielonka@pwzielonka.pl     #(52) 581 97 45
Czp Premium Mariusz Szefler #         biuro@czppremium.pl     #607 042 741
Duet. Drukarnia fleksograficzna, zakład poligraficzny. Gorzelańczyk A. #         duet@duet-flekso.pl     #(52) 355 24 61
q-Jawy Piotr Kryczka #         aluwk@wp.pl     #(54) 429 66 08
Bastec Sebastian Gruszecki #         bastec.sg@gmail.com     #607 883 896
Operacja Renowacja Sp z oo #         kontakt@operacja-renowacja.pl     #721 354 786
Pneumat poduszki i materace przeciwodleżynowe Medard Senski #         pneumat@pneumat.info.pl     #602 369 080
Lester-Met Obróbka Metalu, Gięcie Blach, Lakierowanie Proszkowe #         lestermet@wp.pl     #502 455 502
Gmys Gospodarstwo Ogrodnicze Michał Gmys #         gospodarstwo@gmys.pl     #604 956 363
Szklar - Bud Sławomir Krzysiak #         biuro@szklarbud.pl     #(56) 462 58 32
Kowalstwo Artystyczne Tomasz Koselczuk #         biuro@tksteel.eu     #(72) 607 07 50
Bloch Meble Karol Bloch #         karolbloch71@gmail.com     #604 479 395
Creative Meble Łukasz Kowalski #         kowal8869@wp.pl     #530 141 787
Cofresco Poland Sp. z o.o. Manufacturing Sp.k. #         leszek.majocha@cofresco.com     #(56) 491 17 00
Rolling Spółka z o. o. #         rollingwloc@wp.pl     #(54) 235 45 53
Energoremont Sp. z o.o. #         energoremont@energoremont-swiecie.pl     #(52) 333 39 30
Zakład Sprzętu Ortopedycznego I Rehabilitacyjnego Sp. z o.o. #         kontakt@zsoir.pl     #(56) 648 43 22
Elżbieta Bednarska Pracownia Witraży #         bednarscy.rypin@vp.pl     #(54) 280 20 40
Graform Sp. z o.o. #         graform@graform.pl     #(52) 372 39 14
Chaberski Phu Janusz Chaberski #         pphuchaberski@o2.pl     #(54) 286 22 93
Gea Farm Technologies sp. z o.o. ##(52) 348 04 40
Romstalko PPHU Roman Dobosz #         romstalko@wp.pl     #691 463 738
Angratex Zakład Włókienniczy #         angratex@angratex.com.pl     #(56) 648 96 93
Bumat Joanna Ogiba #         bumat.osielsko@gmail.com     #533 446 446
