Pik-Granit Kamieniarstwo Paweł Guski #         biuro@pikgranit.pl     #788 861 741
Jaga Wytwórnia wafli Zbigniew Truszkowski #         pphjaga@op.pl     #602 699 864
Laft Ireneusz Cmuchalski #         cmuchalski@wp.pl     #573 198 684
Alufusion Krystian Bodanko #         biuro@alufusion.pl     #(87) 523 30 30
VetLabGroup Jędryczko Sp. z o.o. #         wdl@vetlabgroup.pl     #895 123 051
Westo Producent Drzwi Drewnianych #         westo@westo.pl     #(89) 513 15 79
Bi-Plast Spółka cywilna #         bi-plast@bi-plast.pl     #(55) 641 17 71
Tombet Tomasz Saczuk #         tombet.beton@gmail.com     #505 120 120
Patryk Rząp LakiSand #         kontakt@lakisand.pl     #514 568 058
Orstal Jakub Rudewicz #         orstaljakub@wp.pl     #(55) 242 11 93
Grapam Phu Krzysztof Kiersztyn #         biuro@grapam.pl     #607 624 851
Szustkiewicz - usługi sprzętem budowlanym ##500 239 086
Młynomag Sp.j. Joanna Myszkowska, Paweł Rezanko #         biuro@mlynomag.pl     #(89) 755 00 27
Tartak Ligora #         biuro@tartak-ligora.pl     #530 828 168
Topmleko #         topmleko@topmleko.pl     #(89) 542 00 20
Wojciech Zgliczyński Zakład betoniarski #         marcin@zgliczynscy.pl     #(23) 697 78 77
Kaz-Kop Artur Kazaniecki #         arcziinteria@gmail.com     #515 943 494
Orton s.c. #         orton.olsztyn@wp.pl     #(89) 533 86 95
Concrete Zabłoccy Sp.j. #         biuro@dobry-beton.pl     #(89) 534 46 19
Warmia Plus FHU Tomasz Chojecki #         warmia.plus@wp.pl     #504 089 680
ABF Zakład Obróbki Skrawaniem Sp. z o.o. Sp.k. #         biuro@abf.com.pl     #(23) 697 02 30
Abot B&amp;J sp. z o. o. #         abot@abot.com.pl     #(89) 532 03 54
PPUH Ogrodzenia Maciej Drewek ##781 717 964
Printed Circuit Board Technology sp. z o.o. #         biuro@pcbtechnology.pl     #(55) 236 15 03
Bauservis Sp. z o.o. #         biuro.bauservis@gmail.com     #(87) 621 16 61
Zbych-Mar Produkcja Sprzętu Pływającego Zbigniew Cięszczyk #         info@zbych-mar.pl     #609 880 316
Serdyńscy Szkółka Drzew i Krzewów Ozdobnych #         szkolka.nowakowo@gmail.com     #502 523 536
Askom Sławomir Pietuszko #         askomkominy@gmail.com     #501 292 696
Pierogarnia Diabelskie Pierożki #         ania19815@onet.eu     #660 930 083
Trans-Żwir Jan Kitowicz #         biuro@trans-zwir.pl     #(87) 428 32 46
Houselife Filarscy s.c. #         house-life@op.pl     #693 373 891
Zakład Kamieniarski M.Fiedorowicz P.Olechno s.c. #         zaklad.kamieniarski.s.c@gmail.com     #507 984 506
