Bekazet Bąk Sp.j. Hurtownia Elektryczna, Narzędzi, Rozdzielnice Elektryczne #         handel@bekazet.pl     #(91) 462 62 65
Krzysztof Bogatek Stolarstwo Budowlane #         irekbogatek@wp.pl     #791 748 478
Mar Szczecin Bezpieczne Place Zabaw Projekty, Sprzedaż, Montaż, Kontrole, Naprawy, Nawierzchnie #         biuro@placezabaw.net.pl     #661 976 069
Green House Zbigniew Rek Domy Drewniane #         kzrek@o2.pl     #609 515 988
Piotr Wandycz, Dariusz Wandycz s.c. Uprawa Choinek #         piotrwandycz@wp.pl     #608 886 172
Wood-House. Wiązary i domy drewniane. #         biuro@wood-house.net.pl     #515 877 035
Master Spas #         info@masterspas.pl     #505 116 608
AT Sommerfeld Gospodarstwo szkółkarskie #         sommerfeldszkolka@wp.pl     #885 709 939
Tomasz Szczepiński Drewform #         drewformzs@wp.pl     #733 733 150
Gryfita- Zdzisław Królak #         gryfita-szczecin@o2.pl     #694 467 578
Fox - Box Michał Lisowski #         biurofoxbox@gmail.com     #603 510 675
Andrzej Ruciński Szkło Serwis Szklarz - Pogotowie Szklarskie 24h #         biuro@szkloserwis.pl     #601 740 215
Basentech Spółka cywilna Paweł Torbe, Agata Torbe #         biuro@basentech.com.pl     #602 625 424
Muszyńscy Producent Drewnianych Okien i Drzwi #         okna@muszynscy.pl     #(91) 573 94 44
Air -Tech Marine #         firma@air-tech.com.pl     #601 724 974
Inducto Sp. z o.o. Sp.k. #         inducto@inducto.pl     #512 727 657
Jacek Szlingiert Usługowy Zakład Ślusarski ##501 786 597
Wesa Producent Okien i Drzwi #         wesaokna@wesa.pl     #512 231 886
Framex Sp. z o.o. Sp.k. #         okna@framex.pl     #(91) 561 01 23
Zakład Kamieniarski Granit - Jacek Grzesiak #         kontakt@granit-tychowo.pl     #723 973 845
Advisory Konsultacje i Szkolenia z Zakresu Sytemów Jakości Według Norm Serii ISO #         advisory@wp.pl     #602 154 106
Rotho Sp. z o.o. Producent Wyrobów z Tworzyw Sztucznych #         SalesAssistent.KOS@rotho.com     #(94) 717 11 00
Pleksan Producent wyrobów z tworzyw sztucznych Plexi, reklama wizualna #         pleksan@pleksan.pl     #500 264 381
Hydro-Flex #         biuro@hydro-flex.pl     #(91) 562 05 70
Firma Produkcyjno-Handlowa Em-Plast Michał Mazur #         em-plast@em-plast.pl     #604 222 087
GMK Łobez Spółka akcyjna #         biuro@znmrlobez.pl     #(91) 397 40 41
Agromarket Sp. z o.o. w Wiewiecku Kompleksowa obsługa rolnictwa #         agromarket@inet.pl     #(91) 397 18 46
Ara Chemiczna Spółdzielnia Inwalidów #         dh@ara.szczecin.pl     #(91) 461 40 02
Blumeblesite Studio Mebli - Barbara Czerniejewska #         blumeble.ncs@gmail.com     #883 511 568
MAWO - Jacuzzi® Baseny Swim SPA Sauny #         info@mawo.szczecin.pl     #(91) 484 67 77
Madi Hale Namiotowe Adam Piotrowski #         firma.madi@wp.pl     #504 049 354
ZCB Zbigniew Zbierski Producent zewnętrznych parapetów ceramicznych #         biuro@parapetyceramiczne.pl     #(91) 317 64 12
Irena Przetwórnia owocowo-warzywna Zbigniew Kołodziej #         biuro@pw-irena.pl     #(91) 564 42 46
Ogrody Anabelle Anna Szabelska Szkólka Drzew i Krzewów Ozdobnych Tuje Szmaragd #         zdzislawszabelski@tlen.pl     #696 769 081
Dachy z Trzciny Produkcja Trzciny Szymon Smolczyński #         trzcina@trzcina.com.pl     #608 427 547
Tom-Drew Tomasz Trosko #         tomasz.trosko@gmail.com     #783 475 947
Piekarnia Ekologiczna Wypieczony Sebastian Kotowski #         kotowski-sebastian@wp.pl     #608 405 773
Jacek Szkło Jacek Kowalczyk #         jacekszklo@onet.pl     #667 883 886
Vital-Sauna Sp. z o.o. sp.k. #         rafal@vitalsauna.pl     #501 303 544
Marsel Sp. z o.o. #         marsel@marsel.com.pl     #(91) 466 78 00
Adam Presnal Produkcja i Usługi #         presnal.a@interia.pl     #603 220 250
RNX Sp. z o.o. Elektronika Morska, Sprzęt Nawigacyjny i Radiokomunikacyjny #         biuro@rnx.com.pl     #(91) 400 00 47
ITS Spółka z ograniczoną odpowiedzialnością #         its@its-koszalin.pl     #601 449 194
Skraw-Met Malowanie Elektrokataforetyczne-Malowanie Proszkowe #         skrawmet@wp.pl     #510 236 609
Anchem Budowa Basenów #         biuro@anchem.eu     #509 177 161
Zakład Betoniarski, Usługi Budowlane Henryk Nowak Sprzedaż Piwnic Grobowych Prefabrykowanych ##503 509 021
Choco Trade Wioletta Janicka #         kontakt@chocotrade.pl     #501 389 105
Volcano sp. z o.o. #         d.zawislak.volcano@gmail.com     #530 410 600
B.R.H. Schody Metalowe Podesty Kraty Beata Smętek #         hurtowniastalibrh@wp.pl     #661 173 500
KZserwis Krystian Znyk Serwis i montaż klimatyzacji #         kzserwis@op.pl     #603 050 244
Szkółka Drzew Ozdobnych Binowo #         szkolka@binowo.pl     #691 367 422
AT-Corp Andrzej Trędowski #         atcorp@o2.pl     #602 652 097
Hydrobog Zakład hydrauliki siłowej #         zhs@hot.pl     #(91) 561 03 22
