Plast-Chem Kompozyty sp. z o.o. sp. k. #         plast-chem@o2.pl     #(52) 381 39 82
Michał Dziedzic Zakład produkcyjno-usługowy #         zpu@dziedzic-zpu.pl     #(52) 375 05 61
Grabowski Export-Import Handel Hurtowy Bogdan Grabowski #         grabowski-palety57@wp.pl     #783 977 698
Koma Przedsiębiorstwo projektowo wykonawcze budownictwa i instalacji Maciej Kowalski #         koma@koma.torun.pl     #(56) 623 49 21
Usługi Porządkowe Lazur Agnieszka Kowalska #         biuro.lazur@onet.pl     #505 336 831
Alserv SC Zaopatrzenie przemysłu #         alserv@armatura-alserv.pl     #(52) 344 70 90
Sławomir Kantak FHU #         milesek943@o2.pl     #694 532 932
BSControl Jarosław Żolik #         biuro@bscontrol.pl     #665 214 535
Profil Zakład Produkcyjny Wykrojników #         profilbydgoszcz@wp.pl     #608 754 704
Alfa Kroszel sp.j. #         beta@unidelta.pl     #(52) 324 02 98
Sa-Tech Automatyka, naprawa maszyn przemysłowych. Optymalizacja procesów przemysłowych. Naprawy maszyn. Urządzenia i maszyny przemysłowe #         biuro@sa-tech-automatyka.pl     #503 377 932
PM-BUD Posadzki Maszynowe Marcin Jankowski #         kontakt@pm-bud.pl     #785 224 661
Maszynowe Wylewanie Posadzek Jacek Karnowski ##797 359 931
Posadzki Przemysłowe - Żywiczne - Betonowe - Darp #         biuro@darp.com.pl     #604 226 338
Kajot Automatik Janusz Kęsik #         kajot@kajot.com.pl     #(52) 525 60 02
Kadex - Usługi Sprzątania - Dariusz Dombrowski #         darek.kadex@op.pl     #504 832 995
Stefan Wilamowski Instalatorstwo Sanitarne #         wilamowski@wilamowski.pl     #(56) 682 02 36
Rem-Invest Reszczyński Rafał #         reminvest@wp.pl     #727 643 984
Plast-Chem Kompozyty sp. z o.o. #         plast-chem@o2.pl     #(52) 381 39 82
Mega Pol S.A. Zakład wykonawstwa sieci elektrycznych #         zwse@mega-pol.pl     #(52) 343 16 21
Kancelaria Prawna Profilegal Skuczyński i Wspólnicy sp.k. #         profilegal@profilegal.pl     #(56) 623 43 82
Fil-Met. Produkcja podajników ślimakowych. #         filmet@wp.pl     #501 079 339
Zuel Zakład usług elektrycznych Adam Gliszczyński #         a.gliszczynski@wp.pl     #601 640 220
Regan sp z o.o. sp.k. #         info@regan.eu     #691 691 555
Bioetanol AEG sp. z o. o. #         dzialhandlowy@bioetanolaeg.pl     #(56) 675 16 16
Lampcar PPUH Grzegorz Szopik #         mail@lampcar.com.pl     #600 324 333
Maszyny-polskie.pl sp. z o.o. #         biuro@maszyny-polskie.pl     #539 825 517
Lech-Car Wózki widłowe Leszek Kupczak #         lech.car@wp.pl     #605 785 517
Partner Nieruchomości Agnieszka Kuzera #         agnieszka@partnernieruchomosci.net.pl     #604 191 361
Świt Bramy Kraty Rolety Partner Handlowy Krispol #         biuro@firmaswit.pl     #(56) 650 93 95
Hydro-Line instalacje grzewcze i sanitarne #         biurohydroline@gmail.com     #535 131 959
Danstal Daniel Urbanowicz #         danstal@danstal.com.pl     #788 690 900
Idea Projekt Anna Markiewicz #         anna.markiewicz@idea-projekt.pl     #663 304 262
Remowent Wentylacja i klimatyzacja Spółka z ograniczoną odpowiedzialnością #         karolina.szyszka@remowent.pl     #502 481 298
Intebud. Instalacje grzewcze, wod. - kan., odkurzacze centralne #         biuro@intebud.pl     #609 349 631
Guntbruk Michał Guntowski #         guntbruk@poczta.onet.pl     #536 308 074
Energo-Instal. s.c. #         energo-instal@poczta.pl     #602 806 189
Piotr Makowski Przedsiębiorstwo Wielobranżowe #         biuro@alarmtorun.pl     #600 898 893
Dan-Bud Danuta Broda #         bogdanrembialkowski@wp.pl     #519 057 454
Kasprzyk Marta Kasprzyk #         transport.ksprzyk@wp.pl     #669 668 107
Skorbud Sp.j. Zygmunt Skorupiński i wspólnicy #         biuro@skorbud.com     #(52) 341 09 41
Pc-Expert Zenon Górny #         biuro@pc-expert.pl     #601 920 508
Ekoter Ochrona Środowiska Michał Schmidt #         michal@ekoter.pl     #606 641 784
Rolling Spółka z o. o. #         rollingwloc@wp.pl     #(54) 235 45 53
Energoremont Sp. z o.o. #         energoremont@energoremont-swiecie.pl     #(52) 333 39 30
Tartak Drew-Trak s.c. Remigiusz Kwela, Jarosław Kwela #         drew.trak@o2.pl     #604 329 112
Czysty dom, firma, ogród Firma usługowo-sprzątająca Ewa Napierała #         biuro@sprzatanie-znin.pl     #509 152 936
Zakład Usługowy Master s.c. Bogusław Stec Wiesław Stec #         biuro@master.info.pl     #695 148 449
Rokka Robert Sobczak #         rokka-wykladziny@wp.pl     #607 930 921
Piotr Maćkiewicz Chłodnictwo #         piotr199@op.pl     #501 541 405
Elmar Usługi elektryczne i pomiary Mariusz Racinowski #         mariusz.rac72@gmail.com     #607 345 237
Lux-Dom Budowlane Przedsiębiorstwo #         poczta.lux-dom@wp.pl     #(54) 233 10 27
Siwek Sp. z o.o. Prace Na Wysokościach, Remonty Wież, Kominów Przemysłowych #         siwek@jms.pl     #517 445 125
Jarocki Zbigniew Transport Ciężarowy, Hds, Prace Ziemne, Koparka, Kontenery #         zbigniew26080@wp.pl     #501 036 515
Motormonitor Sp.j. #         biuro@motormonitor.com.pl     #600 839 211
Grzegorz Kasprzak Biuro rzeczoznawcy budowlanego #         grzegorzkasprzak1@gmail.com     #604 719 343
Max-Net Wojciech Janaszkiewicz #         wojciech.janaszkiewicz0407@gmail.com     #502 233 674
Novacode Sp. z o.o. #         biuro@novacode.pl     #(52) 374 10 10
Nivelo Firma Budowlana Bogdan Lewandowski #         nivelo@wp.pl     #605 739 225
Projbud Pracownia projektowa i nadzoru budowlanego B. Ściński #         b.scinski@post.pl     #601 665 950
Aleksandra Konklewska Kancelaria Patentowa #         konklewska@interia.pl     #601 636 444
Ekoklimax Centrale wentylacyjne klimatyzacyjne pompy ciepła #         zamowienia@ekozefir.pl     #693 350 652
Tomasz Ptaszyński Pw #         tomaszptaszynski1@wp.pl     #691 909 988
Monika Bielicka Usługi Ogrodniczo-Porządkowe #         monikabielicka23@wp.pl     #503 032 476
Zakład Ogólnobudowlany Marcin Sępiński #         marcin.sepinski@interia.pl     #664 112 013
FDB-Melbos 2 Firma Drogowo Budowlana Jarosław Sieczkowski #         melbos2@interia.eu     #721 282 055
MatPV System Mateusz Kotewicz #         matpvsystem@gmail.com     #537 913 397
Izo-Fil Ewa Niewińska #         biuroizo-fil@o2.pl     #606 614 513
Marstal - Gródek Sp. z o.o. Konstrukcje Stalowe Zbiorniki Rurociągi Hale Stalowe #         marstal.grodek@op.pl     #664 754 514
Izolwent Marcin Rudewicz #         izolwent@gmail.com     #783 750 911
Tartak Rybnica Marcin Marzena Wiśniewscy #         biuro@tartakrybnica.pl     #605 266 992
Jacek Czarnota-Grażka #         grazkagaraze@wp.pl     #691 474 005
Master Szymon Przybylski #         masterszymon3@wp.pl     #782 416 937
Kołodziej Adam Szklarstwo #         koloadama55@wp.pl     #(52) 302 18 91
Opakowania i środki czystości Inter-Pak Roman Górczyński #         interpak.wloclawek@wp.pl     #601 683 398
Grupa Kaczmarek Sp. z o.o.Innowacyjne instalacje elektryczne #         biuro@grupa-kaczmarek.pl     #695 092 506
Firma Budowlana EnzBrug Sebastian Müller #         sm3993002@gmail.com     #697 017 145
Armakom - Przepustnice, Zasuwy, Zawory #         info@armakom.pl     #(52) 345 60 11
Koswid Serwis Wózków Widłowych Krzysztof Kosobucki #         kosobucki2@wp.pl     #695 243 695
Bumax Okna i Drzwi z Drewna #         biuro@bumax.eu     #(52) 330 60 00
Wa El Waldemar Jerewski #         waldek561@onet.eu     #600 104 996
Tech-Bud Zakład ogólnobudowlany Krzysztof Kowalski #         tech-bud1979@tlen.pl     #509 443 633
Texoil #         texoil@interia.pl     #501 927 204
Fast Serwis Wojciech Kowalewski #         biuro@fastserwis.com.pl     #571 903 306
Błysk Usługi Sprzątające #         arletanitkowska@gmail.com     #530 048 222
Jar-Tech #         jar_tech@poczta.fm     #798 364 535
Usługi remontowo-budowlane Łukasz Wojciechowski #         luk.woj31@wp.pl     #661 913 636
Naprawa i konserwacja maszyn rolniczych - Łukasz Ziółkowski #         ziolkowski.naprawy@wp.pl     #885 348 435
Ireneusz Wysocki Mechatronika #         wieslawa@iwysocki.pl     #603 590 399
Mała Czystość Malwina Szymańska #         malwa2450@wp.pl     #508 914 173
Korab FU Brygida Witkowska #         brygidawitkowska@wp.pl     #696 461 904
Em-Co PW Jarosław Kubicki #         emcokubicki@interia.eu     #(56) 462 08 54
Regastro Grzegorz Głodowski #         regastrobiuro@tlen.pl     #604 603 631
Tom-Serwis Chłodnictwo-Klimatyzacja Anna Bugajska #         tomserwis.biuro@gmail.com     #502 163 696
Maszyny Do Szycia Coser Jolanta Trojanowska #         maszynydlaciebie@op.pl     #502 558 102
Eco Coldmar Chłodnictwo Klimatyzacja Marcin Goń #         biuro@coldmar.com.pl     #506 570 060
Pro Amar sp. z o.o. #         proamar@o2.pl     #(52) 345 66 87
Construct -Spaw Sławomir Wiśniewski #         constructspaw@gmail.com     #699 955 209
ARPLEX Wyroby z pleksi #         biuro@arplex.pl     #(52) 582 01 12
Tech-Art Sp. z o.o. sp.k. #         j@tech-art.com.pl     #(56) 664 44 90
Silverpack sp. z o.o. #         robertptak@silverpack.pl     #695 653 151
Algra-Król Hurtownia elektryczna #         algra@algrakrol.pl     #(52) 340 50 05
Agro Kontakt Przedsiębiorstwo produkyjno handlowo usługowe Marek Konopacki #         agro-kontakt@agro-kontakt.pl     #(56) 652 95 06
Silverpack Sp. z o.o. #         robertptak@silverpack.pl     #695 653 151
Elektrostan PPUH #         elektrostan@onet.pl     #507 023 475
Zielonka P.W. Bałażyk Cyprian Sebastian #         p.w.zielonka@pwzielonka.pl     #(52) 581 97 45
ABP Sp z o.o. #         abpbud@wp.pl     #508 346 323
Vacuum-Tech S.C. Marcin Brzozowski Marek Grzanka #         biuro@vacuum-tech.pl     #511 226 852
Izabela Dąbrowska Biuro geodezyjno-projektowe #         bgpmogilno@wp.pl     #609 343 140
Rego Usługi dźwigowe #         rego@onet.pl     #664 149 504
Partner. Adam Kraiński - ogrody zimowe, namioty, zadaszenia #         biuro@partner-kopuły.pl     #692 134 438
Killem Pest II #         wieslawa@agencja-sas.pl     #607 162 318
Sky Sensor Karol Lisiecki #         kontakt@skysensor.pl     #794 120 588
Sawpol Sp. z o.o. Sp.k., #         sawpol@eu-transport.pl     #(52) 584 85 83
Ko-Ja Janusz Kot #         biuro@kojarecykling.pl     #602 473 257
Bud-Cad Inż. Biuro Projektowe Piotr Woźniak #         p-wozniak@wp.pl     #792 525 085
Ekoden Fu Szmytkowski Sławomir #         szmytkowski@interia.pl     #604 203 819
Malkor Bis Malkor + Malkor-Stal #         malkor_bis@vp.pl     #603 293 853
Jeszka Zakład Dezynsekcji, Dezynfekcji i Deratyzacji #         biuro@jeszka.pl     #(56) 623 62 77
Luxen Daniel Kozłowski #         luxen.elektroinstalacje@gmail.com     #515 355 150
Agpol Przedsiębiorstwo handlowo usługowe #         biuro@phuagpol.pl     #695 627 400
Usługi Złotniczo - Grawerskie Zbigniew Henschke #         onyks10@o2.pl     #(52) 371 37 71
Karbud Janusz Kaczmarek #         karbud@karbud.org     #501 639 569
Klimpol #         biuro@klimpol.com     #602 252 336
