Insaco Zakład usługowo-handlowy Andrzej Duda #         biuro@insaco.pl     #(59) 843 95 72
Mirosław Zakrzewski Skup Palet #         konio_mirek@o2.pl     #798 847 968
Euro Podłoga System Romana Szabelska #         roma.eps@wp.pl     #608 302 705
Inicjatywa Północno Zachodnia Pw Sp. z o.o. #         ipz@ipz.com.pl     #(58) 552 80 30
Tapi Przedsiębiorstwo Instalacyjne sp. z o.o. #         tapi@tapi.pl     #(58) 344 38 35
Asist Andrzej Majewski #         biuro@asist-automatyka.pl     #(58) 686 65 30
Bat Forum Maszyny i Technologie Sp. z o.o. #         batforum.handlowy@gmail.com     #692 935 993
Polish Pavings Daniel Sojka #         danielsojka@gmail.com     #668 260 608
Stalmar PW Jacek Żywicki #         stalmar@stalmar.org.pl     #607 355 864
Dual Spółka z ograniczoną odpowiedzialnością #         dualnord@wp.pl     #504 583 453
GurMax Janusz Gurzyński #         janusz.gurzynski@o2.pl     #606 694 185
FHU Olmax Chojnice Jan Różycki #         olmax.chojnice@wp.pl     #(52) 397 50 32
PPU Systemy i urządzenia komputerowe Teldream s.c. Andrzej Kusiuk, Dariusz Krukowski #         teldream@teldream.com     #(58) 348 56 95
Terrorystki Z Mopami Natalia Kruczyńska #         terrorystkizmopami@gmail.com     #519 385 275
Bikom Pphu Ewa Białozorczyk #         bikom@bikom-pl.com     #(58) 307 58 63
Mal Oil Sp. z o.o. ##(55) 273 33 00
Rebelion #         biuro.rebelion@gmail.com     #536 338 390
Euro-Mar Mariusz Hinz #         euromar.palety@wp.pl     #500 470 603
Firma Sprzątająca Anastasiia Pindych #         anastasiia.pindych@gmail.com     #575 984 401
Inda-System Sp. z o.o. #         biuro@inda-system.com.pl     #508 759 088
PHU TED Sp. z o.o. Sp.k. #         tedhurt@tedhurt.pl     #(58) 677 47 71
Ed Mar Edmund Miotk #         ed_mar@op.pl     #502 663 992
BasicTronik Piotr Jarczewski #         piterbasic@gmail.com     #604 906 670
BEZ Mechanika Maszyn i Urządzeń Przemysłowych Serwis Rowerowy i Narciarski Grzegorz Baczul #         firma@bez.com.pl     #(58) 624 83 16
Jw-Automatic Wojciech Damaszke #         wtkd@wp.pl     #504 445 470
Presto Stal Wyroby hutnicze #         marketing@prestostal.pl     #(52) 395 11 24
Technozbyt Witan Spółka jawna #         gdansk@technozbyt.com.pl     #(58) 343 22 11
PSK AS Arkadiusz Skiba #         biuro@pskas.pl     #513 265 414
A&amp;T Przedsiębiorstwo Wielobranżowe Anna Zielińska #         biuro@ait.gdynia.pl     #(58) 627 03 08
Comex S.A. #         info@comex.com.pl     #(58) 556 13 13
Klimawent s.a. #         kllimawent@klimawent.com.pl     #(58) 629 64 80
Poli-Plus Sp. z o.o. #         tomasz@poliplus.com.pl     #607 330 552
Rant Bramy garażowe, automatyka, ogrodzenia #         biuro@rant.com.pl     #(58) 771 13 40
Log-System s.c. #         sekretariat@log-system.pl     #517 322 202
Staltest Pomorze #         biuro@staltest.pl     #784 006 508
Frankowski Coating Sp. z o.o. #         biuro@frankowskicoating.pl     #519 542 444
Hubeny #         biuro@hubeny.pl     #600 010 701
Compte For - Tech Sp. z o.o. #         office@compte-fortech.pl     #(52) 397 20 46
Insbud Wybrzeże Spółka z ograniczoną odpowiedzialnością #         biuro@insbudwybrzeze.com.pl     #(58) 663 26 51
A-Lakiernia Spółka z ograniczoną odpowiedzialnością #         robert.janik@alakiernia.pl     #(59) 863 73 00
Lcs Sp. z o.o. #         lcs@lcs24.pl     #(58) 309 90 41
Chemtec Mirosław Mirynowski #         biuro@chemtec.pl     #517 132 090
Wenta Sprzedaż i Serwis Opon Przemysłowych i Ciężarowych #         biuro@wulkanizacjawenta.pl     #(58) 552 84 68
MB Serwis s.c. #         biuro@mbserwis.com.pl     #(58) 667 00 15
Jagan roboty ziemne, wywóz nieczystości, materiały budowlane #         biuro@jagan.com.pl     #602 443 214
