Bajena Skup Sprzedaż Palet #         bajena.palety@gmail.com     #693 289 822
Polita Sp. z o.o. #         biuro@polita.com.pl     #(91) 810 12 20
Inicjatywa Północno Zachodnia Pw Sp. z o.o. #         ipz@ipz.com.pl     #(91) 311 95 72
Skup sprzedaż Europalet, palet Szczecin Norjack. #         norjack@wp.pl     #501 766 193
Fox Bud Mateusz Lis #         lis.mateusz.93@gmail.com     #725 525 769
Floorepox Michał Wysota #         michal.wysota@gmail.com     #506 121 523
EA System Damian Ziesemer #         info@ea-system.com.pl     #514 862 435
Jimi Usługi Budowlane Ryszard Tomala #         ryszardtomala1@wp.pl     #605 763 323
Usługi budowlane Pos - Bud Leszek Słowiński Posadzki do lokali przemysłowych #         leszek.walcz@wp.pl     #692 174 774
Euro-Floor Posadzki Przemysłowe Betonowe #         mlynska4@interia.pl     #600 392 016
Elmontaż s.c. #         biuro@elmontaz.szczecin.pl     #606 313 644
Global Machinery MP - Relokacja Maszyn, Transport Linii Produkcyjnych- Oferujemy Transport Maszyn Ciężkich #         pawel.pierowicz@globalmachinery.pl     #602 483 714
Figiel-Epoxy Żywiczne Posadzki Przemysłowe Adrian Figiel #         biuro@figiel-epoxy.pl     #692 496 866
Mauro Przedsiębiorstwo Handlowo Usługowe #         biuro@mauro.com.pl     #(94) 374 28 89
F.u. Jacek Tkaczuk Wózki Widłowe #         jacektkaczuk74@interia.pl     #663 778 760
Mega-Color Przedsiębiorstwo Handlowo-Usługowe Teresa Przybylak #         mega-color@o2.pl     #504 153 503
Amper Paweł Rogoziński #         biuro@mechatronikus.pl     #607 586 614
Regwag Pol S.C. Sprzedaż, Naprawa, Legalizacja Wag #         regwag@poczta.onet.pl     #502 131 040
Henryk Wiąz Zakład elektromechaniczny i chłodniczy #         nowogard@wiazhenryk.com.pl     #(91) 579 24 80
Elte sp. z o. o. #         elte@elte.pl     #(91) 312 41 91
KlimCool #         biuro@klimcool.pl     #697 927 650
Prefa-Żuraw. Serwis hydrauliki siłowej, wind samochodowych, żurawi #         biuro@prefa-zuraw.pl     #(91) 311 86 37
Mieczysław Pokój Zakład metalowy #         biuro@mieczyslawpokoj.pl     #608 043 924
Wózki Widłowe Auto Gaz s.c. Z.U.H.  Jerzy Stefankiewicz, Robert Kowalak #         zuhwozki@wp.pl     #(91) 461 26 17
Projektowanie Bogdan Adamczyk #         badamczyk@post.pl     #600 381 738
Recykler Piotr Żywot #         biuro@recykler.szczecin.pl     #530 300 170
A-TOM Light Hurtownia LED #         sklep@webski.pl     #530 319 993
Gruz-Mix Marcin Duszyński #         gruz-mix@wp.pl     #661 470 661
Ana.Hurtownia armatury sanitarnej #         ana@ana.szczecin.pl     #(91) 462 03 58
Far Andrzej Radzisławski #         biuro@far.pl     #509 246 400
Megaton Mariusz Miller #         biuro@megaton.pl     #(91) 431 75 38
Borg Mury oporowe, prefabrykaty betonowe, garaże betonowe #         biuro@borg.szczecin.pl     #502 518 979
Hydro-Flex #         biuro@hydro-flex.pl     #(91) 562 05 70
Wynajem podnośnika koszowego Andrzej Derewenda #         andrzejdere@wp.pl     #666 810 119
Gastrotrip Spółka cywilna Paweł Rybarczyk, Robert Klimczak, Tomasz Wojnarowski #         gastrotripsc@gmail.com     #530 543 848
GMK Łobez Spółka akcyjna #         biuro@znmrlobez.pl     #(91) 397 40 41
Aras Usługi Elektryczne Arkadiusz Płoszański #         arasuslugielektryczne@gmail.com     #792 780 200
F.U.H. Kruk #         biuro@kruk-okna.pl     #505 996 103
Mat-Art Mateusz Gryszkiewicz #         matiasstockholm@gmail.com     #793 544 532
Tomex Sławomir Makaj #         tomex@apnet.pl     #(91) 407 22 52
A.g.b. Andrzej Bąba #         agb-andrzej@wp.pl     #501 107 799
Krzysztof Karkoszka Projektowanie i Nadzór Budowlany #         krzysztofkarkoszka@post.pl     #609 763 188
Stelmaszyński s.c. Firma Budowlana Solidne Dachy Nad Waszymi Głowami #         stelmaszynski@wp.pl     #602 510 973
Autoryzowany Dystrybutor Castrol, Lotos, Shell i Quator - Proauto Sp. z o.o. #         proauto@proauto.pl     #(91) 485 88 99
Autoryzowany Dystrybutor Castrol, Lotos, Shell i Quator - Proauto Sp. z o.o. #         koszalin@proauto.pl     #(94) 340 00 09
Arkadia Spółka cywilna Centrum ogrodzeń Andrzej Zajda, Roman Łukaszewski, Grzegorz Łukaszewski #         arkadia@centrumogrodzen.pl     #(91) 453 14 06
Kärcher Center Kerpol #         biuro@kerpol-karcher.pl     #(91) 464 36 40
Firma sprzątająca Sołtys #         magdanita@wp.pl     #504 571 067
Wip Wycena i Projektowanie Nieruchomości Marek Ostrowski Magdalena Jacobson-Ostrowska s.c. #         wip@post.pl     #604 555 115
Michał Sokołowski FHU #         sokolowskifirma@wp.pl     #512 719 866
Artech Instalacje Teletechniczne Arkadiusz Zimnicki #         artech.alarmy@gmail.com     #501 551 426
Jobell Skup Złomu i Metali Kolorowych #         jobell@o2.pl     #505 223 685
Pro-nad Konstrukcje Tomasz Lewandowski #         pronad.konstrukcje@gmail.com     #667 798 824
3d Nowy Wymiar Czyszczenia Sp. z o.o. #         3d.czyszczenie@gmail.com     #884 700 770
Setmar - Obudowa Hal z Płyt Warstwowych #         setmar@o2.pl     #(91) 433 50 00
Daas Wers Małgorzata Wers #         malgorzatawers@wp.pl     #781 193 841
Inwest-Ocieplenia Krzysztof Kuligowski #         kuligowski.krzysztof30@gmail.com     #513 341 368
Akpor Centrum Zabezpieczeń Drzwi Antywłamaniowe, Bramy Garażowe #         akpor@data.pl     #(94) 351 73 35
Eurostar Sp. z o.o. #         michal.pater@eurostar.inet.pl     #602 699 229
And-Stal Zakład usług metalowych Andrzej Kamiński #         and-stal@wp.pl     #601 790 231
Z.u.t. Wedrotel Adam Wegner #         biuro@wedrotel.pl     #601 436 077
Bio Tek Przydomowe oczyszczalnie ścieków #         biuro@bio-tek.pl     #721 211 241
Multi Geo Plan Damian Nowak #         multigeoplan@onet.pl     #609 106 028
Kabitech #         kontakt@kabitech.pl     #502 937 209
Urbika Aleksandra Przybyłowicz #         biuro@urbika.pl     #733 799 111
Daniel Jan Stempiński P.H.U. #         biuro@phudarja.pl     #604 219 237
Wycena Nieruchomości Agnieszka Lewandowska #         lewandowska.wycena@gmail.com     #695 750 612
DK Projekt #         dkprojekt@interia.eu     #501 435 096
Ajcon Polska sp. z o.o. #         ajcon@ajcon.pl     #(94) 346 53 33
Ann-Lift #         annaskowron1235@gmail.com     #604 861 431
Elektra Hurtownia Elektryczna #         biuro@elektra-goleniow.pl     #(91) 407 30 28
Okna, Drzwi, Rolety, Markizy Marko #         firmamarko@vp.pl     #606 421 720
Pro-System Arkadiusz Madej Zabezpieczenia Przeciwpożarowe #         biuro@prosystem.net.pl     #500 239 663
Alfa Grzegorz Kruk Józef Kruk #         sklep@alfaserwis.pl     #605 644 441
Nowel Zakład Projektowania Nadzoru i Wycen Mgr Inż. Elżbieta Nowacka #         nowel@data.pl     #606 643 650
Vulk Service Piotr Kałuziak. Mobilna wulkanizacja samochodów, maszyn rolniczych i budowlanych #         piotr.kaluziak@wp.pl     #502 672 647
Krom Sp. z o.o. #         krom.rk@gmail.com     #667 004 501
Air-Eco Roman Groblica #         air-eco@wp.pl     #693 270 832
Zakład Produkcyjno-Handlowy Wielobranżowy Henkan Kania Henryk #         zakladhenkan@wp.pl     #502 330 256
Europak Palety Karol Sługocki #         europak@europak-drewno.pl     #(94) 318 39 11
GeoGT Przedsiębiorstwo Geotechniczne #         szczecin@geogt.pl     #(91) 829 41 43
Liftom Tomasz Mogielski #         biuro@liftom.pl     #602 515 632
PHU Emar las i ogród Emilia Biniek #         kontakt.lasiogrod.sklep@onet.pl     #669 320 110
Daw-Pid Dawid Szuta #         dawpid.sd@gmail.com     #668 817 132
Tues Krzysztof Słomiany Daniel Strzeszewski s.c. #         biuro@tu-es.pl     #662 140 959
Usługi Spawalnicze Robert Kozłowski Spawro #         szczypior778@o2.pl     #533 483 684
G-Floors Posadzki Maszynowe Betonowe Anhydrytowe #         posadzkigfloors@o2.pl     #575 804 656
Polish-Export.eu #         hurtownia@polish-export.eu     #663 563 669
True Elektrics Mariia Trus #         trusdima@gmail.com     #735 145 996
Rozbiórki, wznoszenie budynków, instalatorstwo - Bartłomiej Pierzak #         bartekx686@wp.pl     #730 306 547
Konstrukcyjna Pracownia Projektowa Andrzej Brodowski #         konstrukcja@post.pl     #601 760 001
Marek Banasik Wycena Nieruchomości #         biuro@wycena-banasik.pl     #519 740 098
Firma Usługowa Ładnie Mieszkaj #         ladniemieszkaj.2022@gmail.com     #889 339 834
P. W. Tech Gaz SI s.c. Tadeusz Idzi, Wojciech Sułek #         techgazgryfice@gmail.com     #505 109 304
Zeko Pawilony Handlowe #         biuro@zeko.pl     #(91) 418 14 53
Usługi Sprzętowo - Transportowe Zbigniew Skrzypa #         biuro@skrzypa.com     #609 090 594
Topac Jarosław Kucharski #         biuro@topac.pl     #506 159 289
Techmar Service #         biuro@techmarservice.pl     #502 359 787
A-J Instal #         biuro@aj-instal.pl     #533 355 358
Transport HDS Sławomir Bysiak #         slawekbysiak@op.pl     #793 387 546
Cortez Manufaktura Stolarska Arkadiusz Kamiński #         corteztrend@wp.pl     #502 490 164
Inter-Pack Producent Palet, Opakowań Drewnianych Certyfikat Ippc #         inter-pack@inter-pack.pl     #(94) 318 85 28
Tebis Chłodnictwo #         biuro@tebis.com.pl     #(94) 347 14 71
PC Help Kasy Fiskalne #         pc_help@pro.onet.pl     #601 705 200
Zielona Magia Mariia Dusha #         zielona.magia1@o2.pl     #576 275 320
Okna Twoich Marzeń Klaudia Świderska #         oknatwoichmarzen@gmail.com     #500 844 923
Eurobud ZUH Paweł Rudy #         prudy102@wp.pl     #500 205 935
Clean&amp;crystal - Usługi Sprzątające Katarzyna Grażewicz #         kasia234299@wp.pl     #695 688 475
Damart Marta Borkowska #         damart1@poczta.fm     #660 754 677
Zakład Ogólnobudowlany Osuszanie Budynków Iniekcje Krystaliczne Inż. Andrzej Klinger #         andrzejklinger@wp.pl     #602 694 511
Inducto Sp. z o.o. Sp.k. #         inducto@inducto.pl     #512 727 657
Wesa Producent Okien i Drzwi #         wesaokna@wesa.pl     #512 231 886
Rotombud #         rotombud@hoga.pl     #(91) 422 93 80
Pagat Tomasz Watral #         biuro@pagat.com.pl     #535 400 244
Remet Skup Złomu, Metali Kolorowych #         htomek@poczta.onet.pl     #600 251 656
Bekazet Bąk Sp.j. Hurtownia Elektryczna, Narzędzi, Rozdzielnice Elektryczne #         handel@bekazet.pl     #(91) 462 62 65
Mobilna Wulkanizacja -Tir Marcin Grodecki #         marcin_grodecki@interia.pl     #781 116 762
Tergo Zbigniew Gołacki wycena nieruchomości, świadectwa energetyczne. #         tergo@tergo.pl     #601 727 274
Iwona Wielgosz Biuro Obsługi Nieruchomości #         biuro@wielgosz.com.pl     #501 026 450
Zrib D.Y.K.O.W.S.K.I. Sp. z o.o. #         lukasz@zribdykowski.com     #692 455 099
Iso Dach Docieplanie stropów i poddaszy #         info@iso-dach.eu     #660 441 941
Usługi Projektowe i Nadzory Budowlane Mgr Inż. Krzysztof Zawiła #         k.zawila@o2.pl     #661 224 737
Andrzej Jurczyszyn Usługi Dźwigowe i Roboty Ziemne #         andrzejdzwigi@wp.pl     #783 610 527
Geototal Sp. z o.o. Sp.k. Geodezja Inwestycje Mapy #         biuro@geototal.com.pl     #(91) 434 11 67
Deka Izolacje i Wentylacje Sp. z o.o. Sp. K. #         deka@deka.com.pl     #(91) 483 52 25
Firma Szponar Kompleksowe usługi budowlane #         biuro@szponar.pl     #(91) 431 99 99
Mandes Architektura Aneta Mandes-Woźniak #         biuro@mandes-architektura.com     #795 067 343
Instalacje Wodno-Kanalizacyjne i Gazowe Andrzej Giedrys #         a.giedrys@wp.pl     #601 871 126
Grzegorz Daraszkiewicz Saniwent Pracownia Projektowa #         biuro@saniwent.pl     #698 731 508
Leasing #         szczecinleasing@gmail.com     #503 303 374
Atrium Paweł Zimnicki, Andrzej Zimnicki #         atrium@szn.pl     #(91) 439 33 92
Lender Wyroby gumowe Spółka jawna #         biuro@lender.pl     #(91) 439 18 88
Studio Haftu Komputerowego Dystrybucja Odzieży Justyna #         haftszczecin@gmail.com     #(91) 425 27 08
Geo-Metr Biuro Usług Geodezyjno - Kartograficznych Marek Stachowski Geodeta Uprawniony #         biuro@geo-metr.pl     #604 904 843
Gas Technika Jacek Kołosowski #         gt@gastechnika.pl     #502 572 460
Geosat Stanisław Borys Dwornik #         geosat@geosat.com.pl     #607 658 898
Izomorfis Pracownia Architektoniczna Piotr Fiuk #         pracownia@izomorfis.pl     #502 443 951
Abekom Plus Sp. z o.o. #         abekom@abekom.pl     #(91) 433 17 00
Wood-House. Wiązary i domy drewniane. #         biuro@wood-house.net.pl     #515 877 035
Kancelaria Radcy Prawnego dr Rafał R. Wasilewski #         kancelaria@radcawasilewski.pl     #518 040 555
Ireneusz Lesiak Al-Tig Spaw #         irek@al-tig.pl     #501 306 575
Zakład Usług Wielobranżowych Robert Dąbrowski #         zuw.robert.dabrowski@gmail.com     #608 024 512
Maraf Logistyka Sp. z o.o. #         biuro@maraf.com.pl     #(94) 365 06 70
Andrzej Lesiewicz Usługi Brukarskie i Ogólnobudowlane #         alus287@wp.pl     #723 470 411
Novex Jarosław Fidos #         novex_okna@poczta.onet.pl     #(94) 354 96 55
Zk-Projekt Projektowanie, Wykonawstwo, Nadzór Mgr Inż. Zbigniew Kaczanowicz #         zbyszekkaczanowicz@wp.pl     #506 986 906
Pumat #         biuro@pumat.com.pl     #536 432 555
M.P Service Marek Pokora #         pokora-marek@o2.pl     #513 087 323
Mariusz Szafran Świadectwa Energetyczne #         kontakt@kierownikbudowy.szczecin.pl     #606 916 288
Tom - Rys Ryszard Tazbir #         tomrys24h@gmail.com     #889 073 747
AR- tech Firma Projektowo-Budowlana Andrzej Rychlicki #         bp.artech@wp.pl     #502 634 199
Tomasz Budny #         tomekbudny2@tlen.pl     #887 395 799
IP Bud Haus sp. z o.o. #         ip.budhaus@onet.pl     #791 003 201
Nord Geo Artur Bącik #         arturbacik@wp.pl     #602 831 633
VB Leasing S.A. #         kacper.olech@ap.vbl.pl     #602 590 135
Geodex Sp. z o.o. #         geodex@poczta.wp.pl     #602 103 317
Leszek Malecha Zakład projektowania i nadzoru inwestorskiego #         lmalecha@o2.pl     #601 560 816
Pomerania-Nieruchomości Marzanna Ignatowicz #         biuro@pomerania.szczecin.pl     #602 294 787
