Jacek Szlingiert Usługowy Zakład Ślusarski ##501 786 597
Henryk Karcz Zakład ślusarski #         henrykkarcz@wp.pl     #607 664 407
PUHP Robann Robert Raczyński #         1971raczynski@gmail.com     #721 315 949
Ślusarstwo Usługi Edward Wójcik #         slusarstwo.wejherowo@o2.pl     #696 088 109
Rafalsky Rafał Telakowiec. Producent meblowych elementów metalowych. #         slusart@wp.pl     #608 355 983
Piotrospaw Piotr Polok #         piotr.polok@onet.pl     #500 138 591
Staltex Piotr Kadziński #         staltexpiotr@wp.pl     #695 615 743
Tom-Key Tomasz Śmigasiewicz #         tomkey6@wp.pl     #794 111 555
Przedsiębiorstwo Wielobranżowe Hubert #         fabianczech7@wp.pl     #501 216 937
ASMP sp. z o.o. sp.k. #         asmp@asmp.pl     #(12) 285 14 24
Stalkon Zakład Usług Ślusarskich Andrzej Banaś #         stalkon@slusarstwo-stalkon.com.pl     #(12) 285 91 46
Euro Klucz Przemysław Kowalewski #         serwis@euroklucz.pl     #(61) 851 79 30
B.K. Perfekt Kosim Barbara #         bkperfekt@gmail.com     #508 179 510
Rab Serwis zamków Radosław Falkowski #         pogotowiezamkowerab@gmail.com     #792 220 673
Hydro-Nauta sp. z o.o. #         hydronauta@hydronauta.pl     #(58) 621 21 79
Iskra Ireneusz Chmielewski #         iskra@iskra-chmielewski.pl     #(71) 312 35 38
Emmet Dorabianie Kluczy Mariusz Sakwiński #         sakwinscy2@wp.pl     #604 072 158
CNC Obróbka Skrawanie Metali Adamet #         biuro@adametcnc.pl     #605 113 051
Meblart Usługi Meblarskie, Tapicerskie i Ślusarskie #         artur.szymkiewicz@meblart.waw.pl     #502 962 557
Andrzej Radziszewski Z.P.U.H. Met-Bud #         ogrodzenianetbud@kompleksowo.net     #697 085 885
Dampol Mirosław Chometa #         info@elementy-kute.pl     #511 161 164
Pogotowie Techniczne Elektroserwis #         elektroserwis111@wp.pl     #577 949 295
Metalclass Krystyna Świerczyńska #         biuro@metalclass.pl     #605 604 839
Lakom Stal spółka cywilna Jagliński Łakomy #         lakom-stal@lakom-stal.pl     #696 232 117
Usługi Ślusarsko-Spawalnicze Jakub Piecuch #         piecuch-jakub@wp.pl     #690 122 837
Alu-stal-motor Jacek Strzelewicz #         jacekstrzelewicz@onet.eu     #601 772 666
Awaryjne otwieranie drzwi i samochodu - Centrum Kluczy Kramer #         jarekkramer66@gmail.com     #507 043 723
Kolor-Zamek Kolor J #         jarek101@tlen.pl     #668 697 875
Ślusarstwo i spawalnictwo Aleksander Nowak #         biuro@slusarstwo-nowak.pl     #602 699 714
Auto-Klucz Marcin Fenikowski #         autoklucz78@wp.pl     #519 131 500
Spawex Usługi Spawalnicze #         biuro@spawex-brzeg.pl     #733 066 222
