Dor-Mar Szamba Betonowe, Zbiorniki na Deszczówkę #         szamba_betonowe@onet.pl     #664 013 670
Stol Haus sp. z o.o. Budowa domów szkieletowych. #         info@stolhaus.pl     #(68) 383 64 56
Dom z Drewna Emil Jereczyński #         justyna1321@wp.pl     #538 438 901
Kamieniarstwo Drzewiecki #         kamieniarstwodrzewiecki@interia.pl     #605 349 217
Mak-Pol Zakład Tkacki Zdzisław Makowski #         biuro@makpol-tkaniny.pl     #(68) 477 77 07
Strzelecka Spółdzielnia Producentów Mleka #         biuro@sspm.pl     #(95) 763 23 96
Sanipol Sp. z o.o. #         info@sanipol.pl     #(95) 742 70 00
Pol-Plany Magda Sielicka #         polplany@wp.pl     #510 397 774
Piotr Napieralski Hydraulika siłowa #         biuro@hs-napieralski.pl     #661 945 823
Posbet Spółka z Ograniczoną Odpowiedzialnością #         posbet@posbet.pl     #(68) 385 36 03
Adler-Glas Zakład Szklarski Balustrady i poręcze ze szkła Przemysław Wawruszczak #         kontakt@adler-glas.pl     #604 366 666
Antares Manekiny Beata Żołądkowska #         manekiny.zary@wp.pl     #502 073 459
Wokar Sp. z o.o. #         kartony@wokar.biz     #(68) 352 50 48
Staltrans s.c. Wyroby hutnicze - wyroby stalowe #         biuro@staltrans.eu     #(95) 752 99 05
Relpol S.A. Producent wysokiej jakości przekażników elektromagnetycznych Wysokiej jakości przekaźniki przemysłowe i interfejsowe #         relpol@relpol.com.pl     #(68) 479 08 01
Ciekra Wiesław Ciechacki #         ciekra@gmail.com     #669 497 711
Arset-Vac Serwis Układy automatyki przemysłowej #         serwis@arsetvac.pl     #600 234 418
Infotech Przemysłowe technologie informatyczne i systemy pomiarowe Marek Twardowski #         infotech@hoga.pl     #(68) 453 65 66
Bonus-Metal Michał Morawski #         Bonusmetal.morawski@gmail.com     #957 611 640
Iron Mann s.c. #         iron_mann_gubin@interia.pl     #601 141 912
Spawsystem s.c. Piotr Matkowski Przemysław Jakubiec #         spawsystem@spawsystem.com.pl     #730 388 888
Ferma Drobiu Andrzej Kałużny #         biuro@kaluzni.com.pl     #533 023 010
